,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,age,mileage (km),diesel_yn,petrol_yn,hybrid_yn,manual_yn,semi_automatic_yn,automatic_yn,A_Series_yn,T_Series_yn,S_Series_yn,R_Series_yn,Q_Series_yn,model_type
0, A1,2017,12500,Manual,15735,Petrol,150,55.4,1.4,3,25323,0,1,0,1,0,0,1,0,0,0,0,A
1, A6,2016,16500,Automatic,36203,Diesel,20,64.2,2.0,4,58263,1,0,0,0,0,1,1,0,0,0,0,A
2, A1,2016,11000,Manual,29946,Petrol,30,55.4,1.4,4,48193,0,1,0,1,0,0,1,0,0,0,0,A
3, A4,2017,16800,Automatic,25952,Diesel,145,67.3,2.0,3,41766,1,0,0,0,0,1,1,0,0,0,0,A
4, A3,2019,17300,Manual,1998,Petrol,145,49.6,1.0,1,3215,0,1,0,1,0,0,1,0,0,0,0,A
5, A1,2016,13900,Automatic,32260,Petrol,30,58.9,1.4,4,51917,0,1,0,0,0,1,1,0,0,0,0,A
6, A6,2016,13250,Automatic,76788,Diesel,30,61.4,2.0,4,123578,1,0,0,0,0,1,1,0,0,0,0,A
7, A4,2016,11750,Manual,75185,Diesel,20,70.6,2.0,4,120998,1,0,0,1,0,0,1,0,0,0,0,A
8, A3,2015,10200,Manual,46112,Petrol,20,60.1,1.4,5,74210,0,1,0,1,0,0,1,0,0,0,0,A
9, A1,2016,12000,Manual,22451,Petrol,30,55.4,1.4,4,36131,0,1,0,1,0,0,1,0,0,0,0,A
10, A3,2017,16100,Manual,28955,Petrol,145,58.9,1.4,3,46598,0,1,0,1,0,0,1,0,0,0,0,A
11, A6,2016,16500,Automatic,52198,Diesel,125,57.6,2.0,4,84004,1,0,0,0,0,1,1,0,0,0,0,A
12, Q3,2016,17000,Manual,44915,Diesel,145,52.3,2.0,4,72284,1,0,0,1,0,0,0,0,0,0,1,Q
13, A3,2017,16400,Manual,21695,Petrol,30,58.9,1.4,3,34915,0,1,0,1,0,0,1,0,0,0,0,A
14, A6,2015,15400,Manual,47348,Diesel,30,61.4,2.0,5,76199,1,0,0,1,0,0,1,0,0,0,0,A
15, A3,2017,14500,Automatic,26156,Petrol,145,58.9,1.4,3,42094,0,1,0,0,0,1,1,0,0,0,0,A
16, Q3,2016,15700,Automatic,28396,Diesel,145,53.3,2.0,4,45699,1,0,0,0,0,1,0,0,0,0,1,Q
17, A3,2014,13900,Automatic,30516,Petrol,30,56.5,1.4,6,49111,0,1,0,0,0,1,1,0,0,0,0,A
18, Q5,2016,19000,Automatic,37652,Diesel,200,47.1,2.0,4,60595,1,0,0,0,0,1,0,0,0,0,1,Q
19, Q3,2014,17000,Manual,34110,Petrol,145,47.9,1.4,6,54895,0,1,0,1,0,0,0,0,0,0,1,Q
20, A5,2017,17300,Automatic,37100,Diesel,145,67.3,2.0,3,59707,1,0,0,0,0,1,1,0,0,0,0,A
21, Q5,2016,20200,Automatic,23714,Diesel,200,47.1,2.0,4,38164,1,0,0,0,0,1,0,0,0,0,1,Q
22, A5,2017,22500,Automatic,21649,Diesel,145,58.9,3.0,3,34841,1,0,0,0,0,1,1,0,0,0,0,A
23, A6,2015,17500,Automatic,62748,Diesel,150,53.3,3.0,5,100983,1,0,0,0,0,1,1,0,0,0,0,A
24, Q5,2016,20000,Automatic,23789,Diesel,200,47.1,2.0,4,38285,1,0,0,0,0,1,0,0,0,0,1,Q
25, A4,2017,18500,Automatic,17418,Diesel,145,62.8,2.0,3,28031,1,0,0,0,0,1,1,0,0,0,0,A
26, A5,2017,19500,Automatic,33300,Diesel,145,61.4,2.0,3,53591,1,0,0,0,0,1,1,0,0,0,0,A
27, A1,2018,15800,Manual,10793,Petrol,145,56.5,1.4,2,17370,0,1,0,1,0,0,1,0,0,0,0,A
